freq,coop_ptn,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,APPL,NR,AL	: 	: 	: 	: 	: 	1 	0 	0 	0 	0 	3 	0 	2 	0 	0 	2 	0 	3 	7 	8 p
A,APPL,NR,AT	1000 	1053 	1146 	1382 	1503 	1496 	1744 	1734 	1874 	1993 	1964 	1989 	2024 	2209 	2281 	2346 	2306 	2309 	2381 	2355 p
A,APPL,NR,BA	: 	: 	: 	: 	: 	1 	2 	0 	3 	1 	0 	0 	2 	0 	1 	2 	4 	1 	7 	8 p
A,APPL,NR,BE	1493 	1658 	1842 	1898 	1899 	1629 	2045 	2014 	1886 	1882 	1927 	2041 	2211 	2152 	2348 	2422 	2406 	2480 	2603 	2547 p
A,APPL,NR,BG	16 	11 	12 	16 	15 	19 	11 	16 	13 	23 	34 	33 	20 	32 	31 	35 	54 	43 	46 	40 p
A,APPL,NR,CH	4663 	5027 	5503 	5871 	5942 	5887 	6864 	6553 	6746 	6742 	6910 	7116 	7302 	7354 	7961 	8266 	8125 	8504 	9160 	9410 p
A,APPL,NR,CY	20 	35 	47 	42 	56 	42 	49 	55 	56 	41 	44 	39 	36 	49 	49 	48 	65 	42 	43 	53 p
A,APPL,NR,CZ	84 	73 	82 	96 	110 	135 	167 	162 	140 	151 	167 	213 	189 	206 	248 	203 	206 	201 	222 	241 p
A,APPL,NR,DE	23044 	23789 	24806 	25190 	26667 	25118 	27328 	26202 	27249 	26510 	25633 	24807 	24932 	25539 	26663 	26762 	25882 	25891 	24612 	24966 p
A,APPL,NR,DK	984 	1174 	1246 	1400 	1584 	1477 	1817 	1782 	1605 	1942 	1983 	1920 	1855 	2089 	2385 	2415 	2420 	2646 	2685 	2596 p
A,APPL,NR,EE	4 	3 	7 	13 	7 	32 	27 	28 	41 	41 	38 	32 	43 	54 	47 	48 	57 	69 	66 	71 p
A,APPL,NR,EL	69 	67 	70 	83 	89 	102 	83 	78 	79 	68 	95 	91 	75 	102 	120 	141 	135 	203 	186 	157 p
A,APPL,NR,ES	846 	972 	1101 	1283 	1327 	1255 	1430 	1404 	1544 	1504 	1471 	1518 	1574 	1671 	1781 	1885 	1794 	1945 	1974 	2111 p
A,APPL,NR,EU27_2020	51508 	53744 	55197 	57255 	60401 	57101 	61235 	59626 	60451 	61033 	62618 	62618 	62055 	63897 	66181 	66510 	65925 	67820 	67612 	68579 p
A,APPL,NR,FI	1608 	1514 	1674 	2036 	1802 	1413 	1617 	1548 	1851 	1894 	2182 	1993 	1796 	1797 	1728 	1705 	1899 	2108 	2140 	2336 p
A,APPL,NR,FR	8079 	8034 	8051 	8359 	9093 	8974 	9575 	9617 	9897 	9835 	10614 	10760 	10484 	10619 	10468 	10233 	10614 	10693 	10983 	10814 p
A,APPL,NR,HR	24 	26 	30 	38 	24 	20 	17 	18 	19 	10 	12 	9 	16 	10 	14 	19 	23 	27 	32 	51 p
A,APPL,NR,HU	94 	81 	93 	100 	108 	116 	107 	96 	105 	103 	114 	97 	107 	95 	118 	97 	109 	119 	104 	108 p
A,APPL,NR,IE	326 	311 	349 	423 	484 	622 	637 	653 	609 	566 	622 	614 	727 	660 	826 	882 	980 	1015 	1180 	1057 p
A,APPL,NR,IS	31 	28 	47 	36 	36 	46 	53 	45 	50 	38 	42 	45 	39 	56 	33 	50 	41 	63 	48 	42 p
A,APPL,NR,IT	3998 	4199 	4173 	4408 	4357 	3879 	4078 	3970 	3744 	3706 	3649 	3986 	4154 	4360 	4404 	4469 	4619 	4920 	4867 	5053 p
A,APPL,NR,LI	146 	152 	167 	238 	225 	228 	279 	222 	199 	250 	278 	371 	374 	380 	432 	437 	439 	493 	458 	447 p
A,APPL,NR,LT	2 	1 	1 	9 	11 	13 	9 	14 	19 	22 	24 	39 	26 	24 	37 	29 	50 	71 	79 	129 p
A,APPL,NR,LU	183 	181 	203 	259 	274 	364 	420 	393 	449 	429 	454 	425 	556 	533 	431 	415 	402 	433 	344 	385 p
A,APPL,NR,LV	4 	7 	10 	20 	42 	49 	32 	28 	25 	80 	8 	30 	11 	14 	13 	22 	30 	22 	21 	27 p
A,APPL,NR,ME	: 	: 	: 	: 	: 	0 	0 	0 	1 	1 	0 	0 	1 	1 	2 	0 	2 	1 	0 	0 p
A,APPL,NR,MK	: 	: 	: 	: 	: 	0 	0 	0 	0 	1 	1 	0 	1 	0 	0 	1 	1 	5 	3 	4 p
A,APPL,NR,MT	8 	7 	15 	27 	27 	61 	31 	30 	24 	43 	62 	94 	74 	69 	51 	58 	63 	56 	72 	59 p
A,APPL,NR,NL	6974 	7799 	7360 	7118 	7360 	6694 	5965 	5627 	5067 	5852 	6874 	7147 	6860 	7043 	7142 	6942 	6386 	6578 	6796 	7033 p
A,APPL,NR,NO	: 	: 	: 	: 	: 	475 	509 	467 	555 	509 	529 	510 	523 	531 	610 	646 	652 	629 	657 	697 p
A,APPL,NR,PL	93 	111 	127 	104 	169 	174 	205 	246 	383 	372 	482 	566 	393 	446 	519 	463 	478 	522 	607 	671 p
A,APPL,NR,PT	52 	41 	79 	71 	85 	113 	81 	81 	76 	95 	113 	141 	157 	150 	221 	272 	251 	290 	312 	329 p
A,APPL,NR,RO	11 	8 	16 	16 	18 	16 	14 	20 	35 	33 	28 	30 	31 	52 	50 	40 	55 	31 	46 	42 p
A,APPL,NR,RS	: 	: 	: 	: 	: 	4 	8 	6 	5 	11 	11 	4 	1 	10 	9 	9 	8 	20 	13 	14 p
A,APPL,NR,SE	2429 	2486 	2548 	2730 	3134 	3147 	3590 	3638 	3518 	3674 	3873 	3839 	3547 	3783 	4055 	4395 	4422 	4947 	5040 	5139 p
A,APPL,NR,SI	51 	87 	90 	115 	128 	115 	131 	129 	108 	135 	125 	118 	113 	98 	100 	122 	165 	116 	123 	153 p
A,APPL,NR,SK	12 	16 	19 	19 	28 	26 	25 	43 	35 	29 	26 	47 	44 	41 	51 	42 	54 	43 	48 	56 p
A,APPL,NR,TR	66 	68 	144 	146 	195 	190 	283 	371 	397 	377 	403 	447 	523 	911 	574 	471 	605 	735 	560 	601 p
A,APPL,P_MHAB,AL	: 	: 	: 	: 	: 	0.34 	0.00 	0.00 	0.00 	0.00 	1.04 	0.00 	0.70 	0.00 	0.00 	0.70 	0.00 	1.07 	2.52 	2.9 p
A,APPL,P_MHAB,AT	122.37 	127.98 	138.60 	166.60 	180.62 	179.31 	208.53 	206.63 	222.30 	235.03 	229.81 	230.14 	231.67 	251.09 	258.02 	264.19 	258.61 	257.82 	263.33 	258.66 p
A,APPL,P_MHAB,BA	: 	: 	: 	: 	: 	0.26 	0.52 	0.00 	0.78 	0.26 	0.00 	0.00 	0.57 	0.00 	0.29 p	: 	: 	: 	: 	: 
A,APPL,P_MHAB,BE	143.27 	158.23 	174.63 	178.62 	177.31 	150.88 	187.69 	182.46 b	169.80 b	168.65 	171.91 	181.03 	195.12 	189.18 	205.48 	210.81 	208.52 	213.92 p	222.75 p	216.9 p
A,APPL,P_MHAB,BG	2.07 	1.44 	1.58 	2.12 	2.00 	2.55 	1.49 	2.18 	1.78 	3.17 	4.71 	4.60 	2.81 	4.52 	4.41 	5.02 	7.79 	6.25 	7.12 b	6.2 bp
A,APPL,P_MHAB,CH	631.02 	675.93 	735.31 	777.50 	776.97 	760.22 	877.20 	828.19 b	843.58 	833.44 	843.85 	859.17 	872.05 	870.11 	935.01 	963.93 	940.59 	977.09 p	1043.78 p	1067.45 p
A,APPL,P_MHAB,CY	27.47 	47.39 	62.59 	54.75 	71.19 	51.98 	59.08 	64.64 	64.82 	47.57 	51.61 	46.01 	42.28 	57.01 	56.32 	54.42 	72.87 	46.65 p	47.11 p	57.56 p
A,APPL,P_MHAB,CZ	8.24 	7.15 	8.01 	9.32 	10.59 	12.93 	15.94 	15.43 	13.32 	14.36 	15.87 	20.20 	17.89 	19.44 	23.33 	19.02 	19.26 	19.13 b	20.8 b	22.26 p
A,APPL,P_MHAB,DE	279.27 	288.46 	301.13 	306.20 	324.77 	306.68 	334.18 	326.40 b	338.81 	328.72 	316.53 	303.69 	302.76 	308.98 	321.61 	322.07 	311.23 	311.20 	293.71 	295.95 p
A,APPL,P_MHAB,DK	182.07 	216.63 	229.16 	256.34 	288.33 	267.42 	327.52 	319.90 	287.04 	345.86 	351.38 	337.82 	323.85 	362.36 	411.66 	415.35 	414.99 	451.79 	454.85 	437.58 p
A,APPL,P_MHAB,EE	2.94 	2.21 	5.20 	9.70 	5.24 	23.98 	20.28 	21.09 	31.00 	31.11 	28.91 	24.33 b	32.68 	40.99 	35.55 	36.17 	42.87 	51.84 	48.93 	51.98 p
A,APPL,P_MHAB,EL	6.30 	6.10 	6.35 	7.51 	8.03 	9.18 	7.46 	7.02 	7.15 	6.20 	8.72 	8.41 	6.96 	9.48 	11.18 	13.15 	12.62 	19.08 e	17.84 ep	15.08 p
A,APPL,P_MHAB,ES	19.71 	22.27 	24.80 	28.37 	28.88 	27.07 	30.70 	30.04 	33.01 	32.26 	31.65 	32.68 	33.86 	35.86 	38.06 	39.99 	37.88 	41.02 p	41.32 bp	43.9 p
A,APPL,P_MHAB,EU27_2020	118.79 	123.52 	126.45 	130.72 	137.47 b	129.65 	138.84 b	135.43 b	137.11 b	138.10 	141.26 b	140.96 b	139.40 	143.31 b	148.17 e	148.78 bep	147.37 ep	151.75 bep	151.25 bep	152.82 bep
A,APPL,P_MHAB,FI	307.56 	288.60 	317.87 	384.97 	339.14 	264.66 	301.49 	287.29 	341.89 	348.23 	399.52 	363.72 	326.82 	326.24 	313.30 	308.79 	343.43 	380.44 	385.16 	419.84 p
A,APPL,P_MHAB,FR	129.20 	127.52 	126.91 	130.97 	141.68 	139.12 	147.72 	147.66 	151.24 	149.53 	160.06 b	161.69 	157.12 	158.69 	155.87 	151.85 p	157.08 p	157.83 p	161.58 p	158.63 p
A,APPL,P_MHAB,HR	5.57 	6.03 	6.96 	8.81 	5.57 	4.64 	3.96 	4.20 	4.45 	2.35 	2.83 	2.14 	3.83 	2.42 	3.42 	4.67 	5.68 	6.82 bp	8.3 	13.24 p
A,APPL,P_MHAB,HU	9.30 	8.03 	9.23 	9.94 	10.76 	11.57 	10.70 	9.63 	10.58 b	10.41 	11.55 	9.85 	10.90 	9.71 	12.07 	9.93 	11.18 	12.26 	10.78 bp	11.25 bp
A,APPL,P_MHAB,IE	80.09 	74.76 	81.65 	96.16 	107.81 	137.14 	139.69 	142.57 	132.40 	122.41 	133.54 	130.58 	152.88 	137.29 	169.70 e	178.75 e	196.57 	201.66 	230.15 	200.52 p
A,APPL,P_MHAB,IS	106.14 	94.36 	154.72 	115.55 	113.42 	144.43 	166.65 	141.06 	155.90 	117.37 	128.29 	136.03 	116.27 	163.08 	93.56 	138.67 	111.88 	169.12 	125.65 	108.31 p
A,APPL,P_MHAB,IT	69.31 	72.43 	71.77 	75.43 	74.06 	65.64 	68.80 	66.86 	62.88 	61.53 	60.03 	65.63 	68.52 	72.02 	72.89 	74.82 b	77.71 	83.24 p	82.57 p	85.65 p
A,APPL,P_MHAB,LI	4238.40 	4373.72 	4766.39 	6749.48 	6342.85 	6379.05 	7745.27 	6113.68 	5428.70 	6759.68 	7463.49 	9894.92 	9916.22 	10010.01 	11295.30 	11332.11 	11285.06 	12582.31 p	11596.7 p	11265.97 p
A,APPL,P_MHAB,LT	0.59 	0.30 	0.31 	2.79 	3.44 	4.11 	2.91 	4.62 	6.36 	7.44 	8.18 	13.43 	9.06 	8.49 	13.21 	10.38 	17.89 	25.35 	27.9 	45.15 p
A,APPL,P_MHAB,LU	399.48 	389.12 	429.51 	539.59 	560.73 	731.24 	828.48 	758.18 	845.66 b	789.53 	816.08 	746.13 	955.30 	893.79 b	708.94 	669.35 	637.67 	676.49 	526.72 	582.62 p
A,APPL,P_MHAB,LV	1.77 	3.13 	4.51 	9.09 	19.29 	22.88 	15.26 	13.59 	12.29 	39.75 	4.01 	15.17 	5.61 	7.21 	6.75 	11.50 	15.79 	11.67 	11.17 	14.34 p
A,APPL,P_MHAB,ME	: 	: 	: 	: 	: 	0.00 	0.00 b	0.00 	1.61 	1.61 	0.00 	0.00 	1.61 	1.61 	3.21 	0.00 	3.22 	1.61 	0.00 p	: 
A,APPL,P_MHAB,MK	: 	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.48 	0.48 	0.00 	0.48 	0.00 	0.00 	0.48 	0.48 	2.56 b	1.64 	2.19 p
A,APPL,P_MHAB,MT	19.94 	17.33 	37.01 	66.38 	65.95 	147.89 	74.79 	72.07 	57.14 	100.95 	142.67 	211.21 	162.51 	147.44 	105.23 	115.07 	122.25 	108.00 	135.56 b	108.85 p
A,APPL,P_MHAB,NL	428.33 	477.88 	450.26 	434.51 	447.54 	404.95 	359.00 	337.09 	302.42 	348.24 	407.59 	421.90 	402.81 	411.12 	414.47 	400.23 	366.14 	375.18 	383.93 	394.86 p
A,APPL,P_MHAB,NO	: 	: 	: 	: 	: 	98.37 	104.11 	94.28 	110.59 	100.20 	102.97 	98.29 	99.91 	100.63 	114.84 	120.80 	121.20 	116.30 	120.39 	126.98 p
A,APPL,P_MHAB,PL	2.44 	2.91 	3.33 	2.73 	4.43 	4.56 	5.39 b	6.46 	10.06 	9.78 	12.68 	14.90 	10.35 	11.74 	13.67 e	12.20 e	12.61 ep	13.83 ep	16.48 b	18.26 bp
A,APPL,P_MHAB,PT	4.96 	3.90 	7.51 	6.73 	8.05 	10.69 	7.66 	7.67 	7.23 	9.08 	10.86 	13.61 	15.21 	14.56 	21.49 	26.44 	24.38 	28.09 bp	29.97 bp	31.43 p
